,count,mean,std,min,25%,50%,75%,max
mean_ann,48.0,0.0838550448210093,0.014582829010437712,0.05441018063817527,0.07359309971867832,0.08297588642615705,0.09701399461816775,0.11214991751081319
vol_ann,48.0,0.0625,8.881507375111394e-18,0.06249999999999998,0.0625,0.0625,0.0625,0.06250000000000001
cvar95,48.0,-0.0015069760358693495,5.233251794140564e-05,-0.001632738378010012,-0.0015449150141282793,-0.001504016952787688,-0.0014700951859064545,-0.001421721580081175
cdd95,48.0,-0.050251174395777747,0.013703908971059303,-0.08569648109291463,-0.05603955393540975,-0.048091595893196004,-0.04110754701831861,-0.03195649117752834
skew_mth,48.0,1.1731130523105158,0.37919558625137123,0.3399603498762363,0.9088375148774598,1.1489892286110648,1.4669364660618027,2.034669532543796
kurt_mth,48.0,2.3857893192932234,1.727610156968791,0.006996207562286028,1.1882389653115317,1.8833310170104995,3.134176812059476,7.45660658882857
sharpe_ann,48.0,1.341680717136149,0.2333252641670034,0.8705628902108044,1.1774895954988533,1.3276141828185124,1.5522239138906841,1.7943986801730114
sortino_ann,48.0,2.22253951254179,0.424851228518431,1.4084245954043584,1.8965168605006408,2.2178598236269353,2.5784298558448,3.0870589052326163
calmar_ann,48.0,1.8239151298838892,0.6722876584950422,0.789327608001731,1.274233934376643,1.7841648887510488,2.3352812106914542,3.2292595824315344
alpha_ann,48.0,0.45556472936206766,0.21696933299158536,0.0667951577487177,0.30178902813320807,0.4364001376434002,0.6447212849183,0.7605427063241823
beta,48.0,0.31160371657939473,0.759008989608565,-0.9119454805317015,-0.15204196846758583,0.1480116018137712,0.6343206133407541,2.065011731986665
hit_rate,48.0,0.4974683799387969,0.005032848172010395,0.4858974591816349,0.4933581128163805,0.49731300095038494,0.5004583877634552,0.5068435341614033
profit_factor,48.0,1.0618398329716892,0.011466047689863985,1.0361698577270453,1.0550706849425537,1.0619787826674738,1.0683178379428055,1.0874842745170732
turnover_ann,48.0,20.28155014227501,13.533595544426653,3.615963496886483,10.262215648351757,17.929911129517496,27.445477708923185,60.423242556729676
time_in_long,48.0,0.4970136001027468,0.03534284519901665,0.40401921766878207,0.473639792133531,0.4973233636757694,0.5274018616505527,0.552855943180039
time_in_short,48.0,0.48994587561081615,0.03439124643183548,0.43689596766158534,0.4616276975925977,0.48574989163415694,0.5141938495828439,0.5830733928507403
time_in_neutral,48.0,0.013040524286436971,0.0031548713493697008,0.009973127960772321,0.0105405246582118,0.012460707616323258,0.01537026750599356,0.023927178153446027
n_samples,48.0,63017.166666666664,9812.186680908233,45035.0,55049.0,67416.5,71305.0,71473.0
